# Variables,,,,,
1529,-0.219,-0.645,0.44,-2.851,2.646
1528,0.2,-0.163,0.566,-2.369,2.773
1527,-0.017,-0.264,0.469,-2.471,2.675
1526,1.568,1.129,2.051,-1.077,4.258
1525,0.966,0.409,1.369,-1.798,3.575
1524,0.532,0.356,0.769,-1.85,2.975
1523,0.584,-0.03,0.945,-2.236,3.152
1522,0.882,0.319,1.137,-1.887,3.343
1521,0.505,-0.091,0.804,-2.298,3.01
1520,0.981,0.495,1.289,-1.712,3.496
1519,0.298,0.062,0.7,-2.144,2.907
1518,0.254,0.028,0.766,-2.178,2.972
1517,0.048,-0.25,0.363,-2.456,2.57
1516,-0.042,-0.396,0.231,-2.602,2.437
1515,0.316,-0.287,0.549,-2.494,2.755
1514,0.255,-0.035,0.47,-2.242,2.677
1513,0.246,-0.181,0.554,-2.387,2.761
1512,0.196,-0.452,0.82,-2.658,3.026
1511,0.998,0.531,1.36,-1.675,3.567
1510,0.063,-0.603,0.458,-2.81,2.664
1509,0.587,-0.077,1.01,-2.283,3.216
1508,0.968,0.359,1.435,-1.847,3.641
1507,-0.322,-0.736,-0.003,-2.942,2.203
1506,0.061,-0.332,0.435,-2.539,2.641
1505,0.187,-0.249,0.565,-2.455,2.772
1504,-0.646,-1.017,-0.356,-3.224,1.851
1503,-0.046,-0.356,0.308,-2.562,2.515
1502,0.06,-0.224,0.288,-2.43,2.494
1501,-0.48,-0.71,-0.238,-2.916,1.968
1500,1.134,0.774,1.434,-1.432,3.64
1499,0.225,-0.207,0.537,-2.414,2.743
1498,0.181,-0.382,0.53,-2.589,2.736
1497,0.082,-0.548,0.516,-2.754,2.723
1496,0.116,-0.436,0.665,-2.643,2.871
1495,-0.274,-0.801,0.276,-3.008,2.482
1494,0.672,0.091,1.147,-2.115,3.353
1493,1.386,0.946,1.715,-1.26,3.921
1492,0.41,-0.16,0.753,-2.367,2.959
1491,-1.036,-1.682,-0.496,-3.889,1.71
1490,-0.256,-0.464,0.054,-2.67,2.26
1489,-0.261,-0.771,0.117,-2.978,2.323
1488,-0.907,-1.201,-0.457,-3.408,1.75
1487,-0.304,-0.74,0.168,-2.947,2.374
1486,-0.075,-0.627,0.535,-2.833,2.742
1485,-0.114,-0.547,0.321,-2.754,2.527
1484,0.355,-0.123,0.619,-2.329,2.825
1483,0.837,0.255,1.166,-1.952,3.372
1482,0.787,-0.043,1.239,-2.249,3.445
1481,-0.041,-0.335,0.169,-2.541,2.375
1480,-0.325,-0.595,-0.126,-2.801,2.08
1479,0.056,-0.215,0.291,-2.421,2.498
1478,-0.057,-0.353,0.445,-2.559,2.651
1477,0.702,0.238,1.117,-1.969,3.323
1476,-0.428,-0.744,-0.049,-2.951,2.158
1475,-0.558,-1.024,0.153,-3.23,2.36
1474,0.829,0.104,1.631,-2.102,3.837
1473,0.764,0.263,1.538,-1.943,3.744
1472,-0.571,-0.972,0.484,-3.178,2.691
1471,-0.362,-0.657,0.401,-2.864,2.607
1470,-0.852,-1.107,-0.503,-3.314,1.703
1469,0.101,-0.439,0.755,-2.646,2.961
1468,-0.023,-0.529,0.827,-2.735,3.033
1467,0.434,0.078,1.161,-2.128,3.368
1466,-0.606,-0.884,-0.261,-3.091,1.945
1465,-0.611,-1.01,-0.18,-3.216,2.026
1464,-0.501,-1.002,-0.092,-3.208,2.114
1463,-0.362,-0.7,-0.042,-2.907,2.164
1462,-1.093,-1.54,-0.76,-3.746,1.446
1461,0.201,-0.302,0.683,-2.508,2.889
1460,-0.417,-0.836,0.21,-3.042,2.416
1459,-0.585,-1.054,-0.158,-3.261,2.048
1458,-1.827,-2.288,-1.175,-4.494,1.032
1457,-1.974,-2.246,-1.724,-4.453,0.482
1456,-1.123,-1.428,-0.712,-3.635,1.494
1455,-0.195,-0.691,0.439,-2.897,2.646
1454,-1.02,-1.471,-0.435,-3.678,1.771
1453,-1.023,-1.405,-0.25,-3.611,1.957
1452,-0.898,-1.305,-0.481,-3.511,1.725
1451,-1.279,-1.598,-0.951,-3.804,1.256
1450,-0.445,-0.849,0.205,-3.056,2.412
1449,-0.701,-1.146,-0.133,-3.352,2.073
1448,-0.899,-1.397,-0.613,-3.603,1.593
1447,-0.96,-1.346,-0.683,-3.552,1.524
1446,-0.475,-0.93,-0.122,-3.137,2.084
1445,-0.334,-1.059,-0.017,-3.265,2.19
1444,-0.438,-0.827,-0.133,-3.033,2.073
1443,-1.287,-1.714,-0.906,-3.92,1.3
1442,0.028,-0.456,0.332,-2.663,2.539
1441,0.078,-0.449,0.489,-2.655,2.695
1440,0.006,-0.509,0.446,-2.715,2.652
1439,-1.086,-1.446,-0.704,-3.652,1.502
1438,-0.02,-0.6,0.58,-2.806,2.787
1437,-1.218,-1.535,-0.499,-3.741,1.707
1436,-0.225,-0.624,0.079,-2.83,2.285
1435,-0.794,-1.063,-0.537,-3.27,1.669
1434,0.419,0.111,0.955,-2.095,3.162
1433,0.721,0.311,0.934,-1.895,3.14
1432,-0.727,-1.3,-0.308,-3.506,1.899
1431,0.284,-0.063,0.515,-2.27,2.721
1430,-0.448,-0.821,-0.093,-3.027,2.114
1429,0.032,-0.209,0.523,-2.416,2.729
1428,1.134,0.74,1.698,-1.466,3.904
1427,-0.717,-0.942,-0.409,-3.148,1.797
1426,0.235,-0.059,0.954,-2.265,3.16
1425,0.33,0.039,0.654,-2.167,2.86
1424,-0.082,-0.294,0.247,-2.5,2.453
1423,-0.188,-0.495,0.563,-2.701,2.769
1422,0.81,0.435,1.459,-1.772,3.665
1421,0.279,0.084,0.464,-2.122,2.67
1420,0.076,-0.542,0.502,-2.749,2.709
1419,-0.688,-1.323,-0.25,-3.529,1.956
1418,-0.387,-0.976,0.027,-3.182,2.234
1417,0.79,0.442,1.052,-1.764,3.258
1416,0.336,-0.237,0.645,-2.443,2.851
1415,1.052,0.639,1.382,-1.567,3.588
1414,-0.63,-0.93,-0.373,-3.136,1.834
1413,0.801,0.355,1.08,-1.852,3.286
1412,0.119,-0.349,0.34,-2.555,2.546
1411,-0.413,-0.761,-0.074,-2.967,2.133
1410,-0.306,-0.764,0.01,-2.97,2.216
1409,-0.24,-0.544,0.218,-2.75,2.425
1408,-0.883,-1.297,-0.186,-3.503,2.02
1407,-0.203,-0.727,0.232,-2.934,2.439
1406,-0.376,-0.753,-0.018,-2.959,2.189
1405,1.297,0.927,1.635,-1.28,3.841
1404,0.448,0.124,0.806,-2.083,3.012
1403,-0.219,-0.482,-0.064,-2.689,2.142
1402,0.958,0.58,1.818,-1.626,4.024
1401,-0.529,-0.827,-0.212,-3.033,1.994
1400,0.107,-0.35,0.679,-2.557,2.885
1399,-0.826,-1.095,-0.645,-3.302,1.562
1398,-0.386,-0.566,-0.19,-2.772,2.017
1397,-0.328,-0.846,0.089,-3.053,2.296
1396,-1.447,-2.195,-0.771,-4.402,1.435
1395,-0.155,-0.793,0.469,-2.999,2.675
1394,-0.182,-0.7,0.168,-2.906,2.374
1393,0.419,-0.226,0.797,-2.432,3.003
1392,0.073,-0.5,0.436,-2.706,2.643
1391,0.101,-0.449,0.432,-2.656,2.638
1390,-0.299,-0.634,0.128,-2.84,2.335
1389,-0.864,-1.267,-0.649,-3.474,1.557
1388,0.142,-0.137,0.446,-2.343,2.652
1387,0.085,-0.407,0.42,-2.614,2.626
1386,0.346,-0.107,0.709,-2.313,2.916
1385,0.253,-0.29,0.732,-2.497,2.938
1384,-0.158,-0.733,0.138,-2.939,2.344
1383,0.287,-0.041,0.533,-2.247,2.739
1382,1.164,0.65,1.428,-1.557,3.634
1381,0.329,-0.333,0.784,-2.54,2.99
1380,0.025,-0.261,0.371,-2.467,2.578
1379,-0.577,-0.99,0.241,-3.196,2.448
1378,0.055,-0.241,0.592,-2.448,2.798
1377,0.716,0.356,1.017,-1.851,3.223
1376,0.833,0.367,1.109,-1.839,3.315
1375,-0.354,-0.654,-0.185,-2.861,2.021
1374,0.238,-0.139,0.575,-2.345,2.782
1373,-0.102,-0.427,0.12,-2.633,2.327
1372,-0.29,-0.566,-0.085,-2.772,2.122
1371,0.256,0.01,0.456,-2.196,2.662
1370,-0.692,-1.135,-0.364,-3.342,1.843
1369,0.679,0.127,1.107,-2.079,3.314
1368,-0.048,-0.237,0.448,-2.443,2.655
1367,-0.347,-0.603,-0.196,-2.809,2.011
1366,-0.238,-0.382,-0.083,-2.588,2.123
1365,-0.29,-0.736,-0.003,-2.942,2.203
1364,0.494,0.093,0.803,-2.113,3.009
1363,0.108,-0.235,0.727,-2.441,2.933
1362,-0.824,-1.18,-0.401,-3.386,1.805
1361,-0.46,-0.721,-0.256,-2.927,1.95
1360,-0.374,-0.725,0.146,-2.931,2.352
1359,-0.059,-0.397,0.147,-2.603,2.354
1358,-0.894,-1.702,-0.457,-3.908,1.749
1357,-0.358,-0.701,-0.018,-2.907,2.188
1356,0.2,-0.37,0.959,-2.576,3.165
1355,-0.238,-0.89,0.135,-3.096,2.342
1354,0.231,-0.066,0.637,-2.272,2.843
1353,0.373,0.048,0.936,-2.159,3.142
1352,0.162,-0.208,0.646,-2.415,2.852
1351,-0.157,-0.624,0.088,-2.83,2.294
1350,0.054,-0.306,0.309,-2.512,2.515
1349,-0.193,-0.739,0.126,-2.946,2.333
1348,-0.109,-0.654,0.197,-2.86,2.404
1347,-0.376,-1.065,0.013,-3.271,2.22
1346,-0.233,-0.844,0.105,-3.05,2.311
1345,0.621,-0.132,1.06,-2.338,3.267
1344,0.869,-0.038,1.431,-2.244,3.637
1343,-0.766,-1.693,-0.154,-3.9,2.052
1342,-0.818,-1.503,-0.22,-3.71,1.986
1341,0.306,-0.19,0.969,-2.396,3.175
1340,0.146,-0.602,0.935,-2.809,3.142
1339,-0.241,-0.648,0.31,-2.855,2.516
1338,0.385,-0.177,0.892,-2.384,3.098
1337,0.692,0.184,1.105,-2.023,3.311
1336,0.006,-0.371,0.44,-2.577,2.646
1335,0.212,-0.041,0.476,-2.248,2.682
1334,0.549,0.239,0.979,-1.967,3.185
1333,-0.232,-0.606,0.527,-2.812,2.733
1332,0.396,-0.136,1.238,-2.343,3.444
1331,0.402,0.056,0.765,-2.15,2.971
1330,0.534,0.004,0.81,-2.202,3.016
1329,0.438,0.007,0.784,-2.199,2.991
1328,0.786,0.493,1.023,-1.714,3.229
1327,-0.215,-0.73,0.163,-2.936,2.37
1326,-0.331,-1.265,0.147,-3.471,2.354
1325,-0.286,-0.685,0.203,-2.892,2.41
1324,-0.329,-0.703,0.03,-2.91,2.237
1323,0.318,-0.066,0.705,-2.272,2.912
1322,1.443,1.152,1.977,-1.054,4.183
1321,0.941,0.65,1.24,-1.556,3.446
1320,1.605,0.958,2.023,-1.248,4.229
1319,1.415,1.15,1.665,-1.056,3.871
1318,0.758,0.313,1.146,-1.893,3.352
1317,1.479,1.161,1.732,-1.046,3.939
1316,0.352,0.142,0.592,-2.064,2.798
1315,0.595,0.263,0.84,-1.943,3.046
1314,1.265,1.042,1.559,-1.165,3.766
1313,1.08,0.757,1.526,-1.45,3.732
1312,0.287,-0.16,0.684,-2.367,2.891
1311,0.204,-0.252,0.635,-2.459,2.841
1310,0.559,0.212,0.976,-1.994,3.182
1309,0.843,0.068,1.488,-2.138,3.694
1308,-0.655,-1.38,-0.221,-3.586,1.986
1307,-0.156,-0.624,0.267,-2.831,2.474
1306,-0.046,-0.378,0.247,-2.584,2.453
1305,0.146,-0.281,0.566,-2.488,2.773
1304,0.891,0.43,1.36,-1.776,3.567
1303,0.132,-0.215,0.587,-2.421,2.794
1302,0.715,0.199,1.274,-2.008,3.48
1301,-0.315,-0.652,0.126,-2.858,2.332
1300,-0.235,-0.614,0.208,-2.82,2.414
1299,-0.085,-0.45,0.378,-2.656,2.585
1298,0.948,0.554,1.263,-1.653,3.47
1297,-0.294,-0.697,0.02,-2.904,2.227
1296,0.782,0.406,1.045,-1.8,3.251
1295,0.536,0.109,0.844,-2.097,3.051
1294,1.045,0.755,1.303,-1.451,3.51
1293,1.252,0.945,1.526,-1.261,3.732
1292,0.618,-0.078,0.9,-2.284,3.106
1291,1.146,0.858,1.343,-1.348,3.549
1290,-0.119,-0.437,0.25,-2.643,2.456
1289,0.276,0.029,0.661,-2.177,2.868
1288,1.564,0.988,1.977,-1.219,4.183
1287,1.085,0.694,1.323,-1.512,3.529
1286,0.114,-0.197,0.343,-2.403,2.55
1285,0.805,0.512,1.128,-1.695,3.334
1284,1.315,1.067,1.684,-1.14,3.891
1283,0.502,-0.168,0.797,-2.374,3.004
1282,0.547,0.219,1.069,-1.987,3.275
1281,-0.383,-0.935,0.333,-3.141,2.539
1280,0.296,0.018,0.663,-2.189,2.869
1279,0.299,-0.078,0.6,-2.284,2.806
1278,0.434,0.02,0.975,-2.186,3.181
1277,1.072,0.774,1.526,-1.433,3.732
1276,0.645,0.275,0.997,-1.931,3.204
1275,-0.477,-0.938,0.037,-3.145,2.244
1274,0.314,0.007,0.703,-2.2,2.909
1273,0.429,0.051,0.801,-2.156,3.007
1272,0.009,-0.224,0.321,-2.43,2.527
1271,0.417,0.11,0.859,-2.096,3.065
1270,0.407,-0.223,0.786,-2.429,2.992
1269,-0.502,-0.936,-0.137,-3.143,2.07
1268,1.197,0.714,1.608,-1.492,3.814
1267,1.417,1.137,1.728,-1.069,3.935
1266,1.434,1.103,1.802,-1.104,4.009
1265,0.942,0.649,1.2,-1.557,3.406
1264,0.99,0.666,1.232,-1.54,3.439
1263,1.139,0.592,1.478,-1.615,3.684
1262,1.16,0.717,1.49,-1.489,3.696
1261,0.919,0.482,1.237,-1.724,3.443
1260,1.048,0.705,1.362,-1.501,3.568
1259,0.991,0.687,1.371,-1.52,3.577
1258,0.834,0.411,1.443,-1.796,3.649
1257,-0.283,-0.745,0.054,-2.951,2.26
1256,-0.047,-0.371,0.227,-2.578,2.433
1255,0.172,-0.253,0.594,-2.459,2.8
1254,-0.244,-1.28,0.416,-3.486,2.623
1253,0.441,-0.149,1.027,-2.356,3.233
1252,2.489,2.196,2.836,-0.01,5.042
1251,0.58,0.059,0.961,-2.147,3.167
1250,0.378,-0.65,0.853,-2.857,3.06
1249,0.428,-0.519,1.2,-2.726,3.407
1248,0.483,-0.137,0.927,-2.343,3.134
1247,1.388,1.013,1.614,-1.193,3.821
1246,0.864,0.175,1.137,-2.031,3.344
1245,0.212,-0.251,0.545,-2.458,2.751
1244,-0.234,-0.713,0.179,-2.919,2.386
1243,0.362,-0.286,0.773,-2.493,2.98
1242,-0.599,-1.171,-0.258,-3.378,1.949
1241,-0.165,-0.832,0.457,-3.038,2.664
1240,-0.374,-0.852,0.187,-3.058,2.394
1239,-0.235,-0.843,0.323,-3.049,2.529
1238,-0.054,-0.628,0.375,-2.834,2.582
1237,-0.499,-1.078,0.042,-3.284,2.249
1236,-0.07,-0.607,0.395,-2.813,2.602
1235,-0.049,-0.604,0.413,-2.811,2.619
1234,0.196,-0.306,0.572,-2.512,2.779
1233,-0.012,-0.607,0.394,-2.814,2.601
1232,-0.214,-0.556,0.184,-2.762,2.39
1231,0.146,-0.257,0.494,-2.463,2.7
1230,0.372,-0.072,0.614,-2.278,2.821
1229,1.252,0.82,1.706,-1.387,3.913
1228,0.24,-0.033,0.434,-2.24,2.64
1227,0.4,0.074,0.628,-2.132,2.834
1226,0.731,0.269,1.005,-1.937,3.211
1225,0.22,-0.39,0.51,-2.596,2.716
1224,-0.119,-0.817,0.453,-3.023,2.659
1223,-0.778,-1.636,-0.156,-3.842,2.05
1222,-0.506,-1.192,0.057,-3.398,2.263
1221,-0.346,-1.248,0.398,-3.454,2.604
1220,-0.644,-1.635,0.046,-3.841,2.253
1219,0.441,0.05,0.821,-2.157,3.027
1218,0.002,-0.717,0.634,-2.923,2.84
1217,0.047,-0.192,0.37,-2.399,2.577
1216,0.449,-0.124,0.813,-2.331,3.019
1215,0.512,0.282,0.718,-1.925,2.925
1214,0.667,0.306,0.912,-1.901,3.119
1213,0.459,0.144,0.8,-2.062,3.007
1212,-0.968,-1.441,-0.614,-3.647,1.592
1211,-0.234,-0.586,0.029,-2.792,2.235
1210,0.263,-0.335,0.63,-2.542,2.836
1209,-0.353,-0.631,-0.007,-2.837,2.2
1208,-0.806,-1.087,-0.513,-3.293,1.693
1207,0.015,-0.204,0.463,-2.411,2.669
1206,0.693,0.134,1.091,-2.072,3.297
1205,-0.58,-0.76,-0.383,-2.966,1.824
1204,-0.466,-1.013,0.339,-3.219,2.545
1203,-0.114,-0.823,0.554,-3.03,2.76
1202,-0.484,-1.008,0.078,-3.215,2.285
1201,-0.334,-0.703,0.314,-2.91,2.52
1200,0.428,-0.151,0.936,-2.357,3.142
1199,0.526,0.02,0.961,-2.186,3.167
1198,0.729,0.068,1.275,-2.138,3.481
1197,0.295,-0.131,0.757,-2.337,2.963
1196,0.945,0.439,1.566,-1.768,3.772
1195,0.88,0.451,1.347,-1.755,3.554
1194,0.456,-0.158,0.964,-2.364,3.17
1193,1.669,0.686,2.271,-1.52,4.477
1192,1.033,0.42,1.588,-1.786,3.794
1191,0.973,0.222,1.593,-1.985,3.799
1190,-0.061,-0.657,0.315,-2.863,2.522
1189,0.657,0.408,0.873,-1.799,3.079
1188,0.272,-0.103,0.47,-2.31,2.676
1187,0.25,-0.063,0.905,-2.269,3.111
1186,1.364,0.908,1.885,-1.298,4.091
1185,0.635,0.426,1.15,-1.78,3.356
1184,0.565,-0.016,1.19,-2.223,3.396
1183,0.431,0.182,0.896,-2.024,3.103
1182,-0.362,-0.643,-0.071,-2.85,2.135
1181,-0.152,-0.526,0.156,-2.732,2.363
1180,0.292,-0.373,1.235,-2.58,3.441
1179,-0.008,-0.372,0.578,-2.579,2.785
1178,0.265,-0.053,0.589,-2.26,2.796
1177,-0.292,-0.701,0.006,-2.907,2.213
1176,-0.744,-1.177,-0.316,-3.384,1.89
1175,-1.008,-1.369,-0.464,-3.575,1.742
1174,-0.121,-0.431,0.368,-2.638,2.574
1173,-0.266,-0.536,0.243,-2.742,2.449
1172,0.084,-0.3,0.624,-2.506,2.831
1171,0.811,0.163,1.516,-2.044,3.722
1170,-0.37,-0.811,0.297,-3.017,2.504
1169,1.412,0.999,2.131,-1.207,4.337
1168,0.3,-0.089,0.939,-2.296,3.145
1167,0.748,0.51,1.088,-1.697,3.294
1166,0.265,-0.285,0.649,-2.492,2.855
1165,1.331,0.644,1.674,-1.562,3.88
1164,0.867,0.082,1.318,-2.124,3.524
1163,0.284,-0.302,0.729,-2.508,2.936
1162,0.669,0.144,1.003,-2.062,3.209
1161,0.098,-0.316,0.46,-2.522,2.667
1160,-0.09,-0.496,0.189,-2.702,2.396
1159,0.27,-0.101,0.598,-2.308,2.805
1158,0.924,0.415,1.471,-1.791,3.677
1157,0.185,-0.126,0.594,-2.333,2.8
1156,0.832,0.269,1.45,-1.937,3.657
1155,0.356,-0.03,0.918,-2.236,3.124
1154,0.312,0.015,0.662,-2.191,2.869
1153,1.026,0.578,1.455,-1.628,3.661
1152,0.751,0.377,1.128,-1.829,3.335
1151,0.357,0.039,0.649,-2.168,2.855
1150,0.348,-0.084,0.586,-2.291,2.792
1149,1.952,1.338,2.382,-0.868,4.588
1148,0.235,-0.057,0.503,-2.263,2.71
1147,-0.725,-1.019,-0.418,-3.225,1.788
1146,-0.531,-0.954,-0.171,-3.16,2.035
1145,-0.621,-1.083,-0.329,-3.289,1.878
1144,-0.117,-0.51,0.159,-2.716,2.365
1143,0.233,-0.262,0.504,-2.469,2.71
1142,-0.265,-0.575,0.082,-2.782,2.288
1141,-0.54,-0.973,-0.018,-3.18,2.188
1140,0.187,-0.222,0.555,-2.428,2.762
1139,-0.629,-0.969,-0.152,-3.175,2.054
1138,-0.443,-0.877,-0.096,-3.083,2.111
1137,-0.699,-1.233,-0.277,-3.439,1.929
1136,0.116,-0.272,0.382,-2.479,2.588
1135,0.019,-0.281,0.298,-2.487,2.504
1134,-0.733,-1.325,-0.416,-3.531,1.791
1133,-0.4,-0.839,-0.106,-3.045,2.1
1132,-0.478,-1.066,-0.094,-3.272,2.113
1131,-0.501,-0.981,-0.085,-3.187,2.122
1130,-0.258,-0.603,-0.027,-2.81,2.179
1129,0.485,-0.021,0.828,-2.227,3.034
1128,-0.249,-0.694,0.127,-2.901,2.334
1127,-0.248,-0.764,0.079,-2.971,2.285
1126,-0.204,-0.626,0.27,-2.832,2.476
1125,-1.519,-1.907,-1.193,-4.113,1.014
1124,0.028,-0.456,0.312,-2.662,2.518
1123,-0.453,-0.845,-0.174,-3.051,2.033
1122,-1.498,-1.933,-0.702,-4.139,1.505
1121,0.207,-0.232,0.807,-2.438,3.013
1120,-0.567,-0.94,-0.118,-3.146,2.088
1119,0.062,-0.416,0.436,-2.622,2.642
1118,0.254,-0.228,0.746,-2.434,2.952
1117,-0.599,-1.012,-0.095,-3.219,2.111
1116,0.055,-0.311,0.426,-2.517,2.632
1115,-0.496,-0.818,-0.118,-3.024,2.089
1114,0.195,-0.302,1.171,-2.508,3.377
1113,0.027,-0.254,0.594,-2.461,2.801
1112,-0.597,-1.004,-0.302,-3.211,1.904
1111,0.018,-0.224,0.204,-2.43,2.41
1110,0.148,-0.163,0.446,-2.37,2.652
1109,-0.07,-0.507,0.315,-2.714,2.521
1108,0.1,-0.319,0.37,-2.525,2.576
1107,-0.145,-0.608,0.261,-2.815,2.468
1106,0.141,-0.152,0.728,-2.359,2.935
1105,0.988,0.575,1.443,-1.632,3.649
1104,-0.646,-1.035,-0.351,-3.241,1.855
1103,-0.398,-0.866,-0.064,-3.073,2.142
1102,-0.539,-0.927,0.071,-3.134,2.277
1101,0.125,-0.205,0.874,-2.412,3.08
1100,0.105,-0.314,0.403,-2.521,2.609
1099,-0.393,-0.832,-0.077,-3.038,2.129
1098,-0.65,-0.998,-0.281,-3.204,1.925
1097,0.16,-0.15,0.492,-2.356,2.698
1096,-0.257,-0.736,0.06,-2.942,2.266
1095,-0.14,-0.533,0.128,-2.739,2.335
1094,-0.367,-0.815,-0.02,-3.021,2.186
1093,1.02,0.569,1.335,-1.637,3.541
1092,0.039,-0.244,0.201,-2.45,2.408
1091,0.261,0.022,0.551,-2.184,2.757
1090,-0.217,-0.626,-0.034,-2.833,2.172
1089,-0.232,-0.595,0.106,-2.802,2.312
1088,-0.45,-0.848,-0.193,-3.055,2.013
1087,-0.69,-1.152,-0.367,-3.358,1.839
1086,-0.059,-0.506,0.194,-2.712,2.401
1085,0.478,0.099,0.867,-2.107,3.073
1084,-0.257,-0.562,-0.079,-2.769,2.127
1083,-0.18,-0.436,0.078,-2.642,2.284
1082,-1.391,-1.727,-1.037,-3.933,1.169
1081,-1.725,-2.158,-1.282,-4.365,0.925
1080,-1.247,-1.712,-0.626,-3.918,1.58
1079,-0.89,-1.272,-0.248,-3.479,1.958
1078,-0.384,-0.86,0.167,-3.066,2.373
1077,-0.297,-0.752,0.236,-2.959,2.442
1076,-0.757,-1.257,-0.264,-3.463,1.942
1075,-1.702,-1.998,-1.305,-4.204,0.901
1074,-0.86,-1.251,-0.448,-3.457,1.758
1073,-1.685,-2.195,-0.981,-4.401,1.225
1072,-1.579,-1.939,-1.175,-4.145,1.031
1071,-1.119,-1.384,-0.886,-3.59,1.321
1070,-1.138,-1.44,-0.738,-3.646,1.468
1069,-1.28,-1.653,-0.976,-3.859,1.23
1068,-0.6,-1.043,-0.328,-3.25,1.878
1067,-0.98,-1.719,-0.45,-3.926,1.756
1066,-1.258,-1.719,-0.94,-3.925,1.266
1065,-1.015,-1.476,-0.603,-3.683,1.603
1064,-0.504,-0.974,-0.083,-3.181,2.124
1063,-1.088,-1.504,-0.597,-3.71,1.609
1062,-1.615,-2.211,-1.163,-4.417,1.043
1061,-1.478,-1.742,-1.252,-3.949,0.954
1060,-0.63,-1.046,0.002,-3.253,2.209
1059,-1.178,-1.798,-0.702,-4.005,1.505
1058,-0.836,-1.405,-0.018,-3.612,2.188
1057,-1.764,-2.248,-1.445,-4.454,0.762
1056,-1.448,-1.955,-1.066,-4.161,1.14
1055,-0.94,-1.421,-0.402,-3.627,1.804
1054,-1.512,-2.093,-1.121,-4.3,1.086
1053,-2.024,-2.6,-1.665,-4.806,0.541
1052,-0.641,-1.094,-0.188,-3.3,2.018
1051,-1.278,-1.69,-0.871,-3.897,1.335
1050,-1.894,-2.151,-1.581,-4.357,0.625
1049,-1.931,-2.247,-1.579,-4.453,0.628
