"Claims","Losses","Precipitation"
0,0,0
2,9899.89888776542,5
3,4601.7593528817,4
7,10194.1152679474,0
2,51177.1385237614,0.8
2,1765.88473205258,0.6
0,0,4
2,5083.53892821031,12.4
0,0,5.6
4,5590.45500505561,4.2
5,53180.7684529828,0
0,0,4.2
0,0,10
2,1946.21485943775,18.6
8,19847.3795180723,1
0,0,1.6
0,0,0.4
2,1177.92168674699,0
8,11611.8674698795,7.1
6,19887.1285140562,1
6,25337.0381526104,0.2
0,0,2.6
2,3562.33935742972,0.6
4,15017.7108433735,5.2
4,10631.2112193795,4
2,302.788844621514,2.8
6,14218.4163346614,1.8
2,6153.49601593625,26.6
2,4295.86653386454,20.6
2,8668.62549800797,40.4
2,5990.6374501992,3.8
0,5516.11553784861,7.4
4,24815.4183266932,4.8
2,557.011952191235,2.6
0,0,3.8
3,5438.89442231076,0.4
2,13786.3247011952,0.6
0,0,8.8
0,0,14.4
4,7202.81899109792,0.4
0,0,5.8
1,2749.65380811078,3.4
3,10331.7804154303,0
1,7440.55390702275,11.7
4,47985.2621167161,2.4
0,0,0
1,10059.4559841741,0.8
2,7629.19881305638,0
2,4031.86943620178,2.2
0,0,1.6
3,6798.18991097923,7.2
3,4605.15717092338,0
0,0,2.8
3,51717.5343811395,19.4
3,3340.06876227898,12.6
2,4215.18664047151,4
3,5773.62475442043,8.8
2,12733.7131630648,6.3
1,1211.85658153242,8.6
0,0,3.4
2,8003.40864440079,8.8
10,72052.0530451866,12.6
2,5828.99803536346,0.2
4,10090.4027504912,0.4
0,0,5.4
2,6571.71707317073,6.6
2,19559.2487804878,9.2
2,48616.3024390244,22.8
4,29643.9804878049,19.6
1,544.234146341464,22
0,0,5.8
5,25409.2,6.8
3,4901.47317073171,1
7,18418.8195121951,13.8
2,53926.4195121951,4
0,0,27.2
1,5791.25853658537,0.2
0,1211.08632395732,35.8
1,387.245392822502,12.4
1,113856.779825412,8.2
1,13963.1813773036,11.4
1,1857.05140640155,0
9,35556.0620756547,2.4
0,10975.2764306499,1.2
0,0,3.8
1,5266.34335596508,28.6
0,0,0.2
0,0,10.2
1,2092.92919495635,6.8
1,1195.00484966052,0
1,22143.7632338787,0
0,0,2.6
0,0,1
0,0,8.6
1,1182.99326275265,14.3
4,14382.4157844081,0.4
0,0,0
0,0,11.8
0,0,1
1,16851.4533205005,2
0,0,0.3
1,5777.89220404235,0
2,10536.1886429259,0.4
1,3330.1320754717,8.3
4,14360.8396226415,3.4
0,0,0
0,0,13.7
13,71224.9622641509,14.8
5,19244.6132075472,1.2
2,16806.2641509434,0.4
2,3838.53773584906,0
2,3488.93396226415,3.4
3,7438.6320754717,3.3
2,29625.6037735849,5
1,5747.39622641509,0
1,22484.8113207547,2.6
0,0,1.4
2,7292.09751609936,0.2
2,16316.5593376265,19.2
3,42859.2272309108,0.6
3,20447.48850046,10
0,0,5.9
0,0,2.8
1,6575.72217111316,4.6
2,5993.83624655014,31.3
5,59257.7184912603,2
2,47650.7267709292,22.6
4,9968.96964121435,7.2
2,6577.06531738731,1
14,158786.00360036,28.6
170,4805834.20342034,57.2
8,116918.784878488,19.2
2,40983.7083708371,23.8
1,57793.0423042304,4.6
3,26649.1269126913,13.8
1,15821.0261026103,0
0,1396.76867686769,20
0,0,18
0,0,28.2
1,11512.1242124212,12
5,38255.8775877588,11.8
0,0,0.2
2,3892.54701448793,0.4
2,25067.7046263345,0.8
0,2671.27224199288,30.8
1,6358.35409252669,2.8
0,0,0
4,48165.2669039146,1.2
3,29545.2135231317,1.2
0,0,0
1,1204.67081850534,0.2
1,8211.25444839858,9.3
2,25466.28113879,2.4
1,36339.768683274,4
2,19065.4893238434,10.2
1,2895.57829181495,4.1
2,5611.18899733807,5.1
5,29313.0168589175,0.7
3,30575.6166814552,21.7
1,1051.46406388642,0.2
7,19966.5661047028,14.4
0,3105.5900621118,0
2,6534.60514640639,0.4
4,17340.6033717835,0
2,8000.39929015084,4
1,5529.2280390417,0.6
2,4464.71162377995,13.8
2,21541.7657497782,15
2,27774.9253353288,0
1,5257.77197563098,0.2
3,17293.7162750218,10.2
6,69258.5204525674,0
1,44123.3507397737,5.4
3,61781.4186248912,0.6
1,2708.53785900783,4.8
6,66864.5691906005,26.8
2,8843.44647519582,0.6
2,11248.6684073107,1.2
2,3575.74412532637,10.2
2,27695.8746736292,37.8
2,14810.0261096606,21.6
3,33616.7152658662,3.4
4,52156.449399657,3.6
1,3810.96912521441,24
1,21771.1234991424,32.6
9,82143.3790737564,17.8
3,30355.2487135506,17
0,0,16.4
4,46185.6432246998,28.6
2,2575.67753001715,23.4
0,0,7.6
1,1291.80960548885,10.2
3,29703.7135506003,14.8
1,5159.53687821612,0.6
4,47342.0926243568,12.6
0,0,0
2,2784.94915254237,9.4
2,7867.97457627119,2
2,36309.5254237288,0
4,6990.44915254237,3.8
1,7467.19491525424,0.4
2,9581.40677966102,2.4
4,39809.8305084746,0
0,0,4.6
3,20193.9322033898,0
0,0,0.8
3,12595.0338983051,0
1,13562.3728813559,0
0,0,0
0,0,0.9
2,149762.227805695,1
1,6954.77386934673,0.2
0,0,0.2
0,0,0.2
5,145914.505862647,2.4
4,112568.291457286,4.8
3,17373.0820770519,18.2
3,18715.7537688442,9.8
3,59920.1507537688,15.3
2,6031.18927973199,1.4
3,19396.302130397,0
3,9287.3230268511,2.2
4,33344.2636289666,3.6
5,48232.7502034174,0.4
1,7133.84052074858,3.4
2,13109.6338486574,16.6
5,61999.5280716029,6.8
6,64564.1659886086,9.4
5,47268.1692432872,29
5,39847.7298616762,4
5,43018.6167615948,24.2
5,53843.0105777054,25.4
6,25233.8893409276,0
4,38142.0565049799,0
5,55593.8212025316,10
5,74144.1376582278,12.9
4,57840.996835443,0.8
2,9683.5917721519,37.4
4,17358.9003164557,17
5,39442.5158227848,9.9
4,47899.6360759494,4.8
2,78862.0569620253,10.2
4,49311.2341772152,14
4,30678.8212025316,1.2
6,34286.2025316456,67.6
2,18799.2088607595,6.8
6,58402.8424153346,5.8
2,32757.6893353941,2.8
7,42833.4775888717,14.6
2,26014.9227202473,6.2
7,94810.8887171561,14.1
5,87939.4667697063,3.8
1,23618.9180834621,16.2
3,69206.1282843895,1.4
3,65286.800618238,22.6
6,70690.7573415765,12.4
4,57125.486862442,0.4
5,41610.455950541,0.8
4,92875.0386398764,0
2,19129.9618902439,0.4
2,18487.5152439024,0.6
0,4325.0762195122,9
3,17842.3551829268,0
5,48577.2713414634,0
1,8974.75609756098,8.6
2,23061.1280487805,8
3,66233.1402439024,3.4
6,87556.5548780488,2.6
3,22353.1478658537,0.4
3,124193.826219512,2.4
3,36109.9618902439,0.2
4,21611.7301829268,0.9
0,23696.6174298375,5.8
4,35735.7311669129,0.8
2,25423.2274741507,5.8
5,27068.7075332349,22.1
2,36643.9734121123,5.6
8,232969.113737075,77.3
5,25419.0251107829,0.4
4,76594.305760709,1.6
2,32895.7754800591,2.6
6,48384.7193500739,5.4
2,41255.9379615953,17.4
3,34868.0206794682,26.2
7,93980.8788774003,24.8
1,5887.71787296898,13.2
7,73977.3998543336,16.2
4,27334.457392571,2.6
4,58992.1704297159,19.8
4,70031.1798980335,9.4
4,56095.9796067006,7.4
5,131113.452294246,12.8
0,0,6
2,11715.2949745084,9.8
3,20071.8426802622,19.6
4,22713.5178441369,10
2,13444.5739257101,4.9
3,15368.5651857247,1.4
2,16292.4960952136,1.2
4,27240.3684971098,0
0,311.054913294798,0
5,26898.8150289017,0.4
1,6493.86560693642,1.8
5,14828.3959537572,5
3,58788.1069364162,1.4
3,63504.2341040462,0
2,43878.887283237,1.6
5,24173.7355491329,10
5,42787.6300578035,3.4
5,53707.5216763006,3.2
3,61879.6387283237,0.2
3,19668.9956647399,3.4
6,179306.946996466,0
4,18513.5123674912,0.2
2,13276.6077738516,6.8
3,20421.7526501767,8.2
7,105751.399293286,2.6
4,29457.519434629,4.1
9,69387.2650176678,4.4
6,91752.0565371025,0
3,18583.0600706714,2.2
3,19886.9116607774,3.6
1,1653.5406360424,4.6
5,74760.0424028268,0
2,31808.8409893993,0
3,20752.4098025868,7
3,28647.0592239619,0.2
2,4860.85091899251,16
6,65263.6487406399,4.4
8,68620.1633764466,30.4
3,57756.3852961198,8
6,78099.7889720899,1.6
11,94928.3730428863,34
4,32197.6650782845,1.6
4,140955.629680054,15.6
2,26218.5023825732,8.8
4,113316.535057862,19.4
4,30023.9074200136,2.4
2,4460.65860215054,14.2
5,49711.1827956989,8.4
6,80169.435483871,3.2
1,54647.1639784946,8
5,53711.3239247312,3
4,38689.8588709677,7
3,30336.1357526882,8
1,12115.436827957,7.6
6,62366.1827956989,3.8
4,32362.7755376344,1.6
6,58377.6075268817,5.8
3,8168.05107526882,13
3,6439.12634408602,1.4
5,98226.2954949944,5.8
3,42327.0896551724,2
1,1546.72413793103,2.6
1,189915.006896552,0
3,38011.4482758621,0.8
2,19277.4551724138,0.4
0,5806.04137931035,1.2
1,4614.85517241379,0.4
1,7432.93793103448,0
4,48229.2413793103,11.4
5,126518.662068966,3.4
4,16739.5586206897,6
3,78623.0413793104,0.2
3,28963.7554269175,3.8
2,25055.1519536903,9.8
2,27508.3502170767,2.2
3,182453.010130246,1.2
4,72343.6685962373,5
3,47657.0622286541,2.4
3,23810.9696092619,1.2
4,27768.9580318379,4.1
6,55806.4182344428,7.6
1,3791.75832127352,18.8
11,139082.771345876,0.2
7,143853.610709117,7.4
0,515.918958031838,0
4,13462.2295321637,0.4
2,12298.1798245614,7.3
3,13751.1695906433,9.4
4,68832.2880116959,2
4,28270.0438596491,0
4,40682.6900584795,6.8
7,309940.81871345,4.6
6,56754.2397660819,5
2,18360.3216374269,0
4,27773.8961988304,5.6
4,44717.6754385965,1.4
2,11416.8932748538,3.4
3,15647.3976608187,4.8
7,96309.4035348014,19
3,23015.5267062315,31
6,582133.382789318,4
4,102353.560830861,3.6
3,100080.200296736,24.2
1,33297.9599406528,0.6
8,118346.891691395,6.4
4,43155.7195845697,7
3,201925.504451039,0
3,110366.928783383,5.4
6,57125.793768546,0
3,26747.8635014837,0.2
3,44729.0059347181,0.2
3,39449.2719167905,2.8
9,133134.650817236,4.4
1,4869.88112927192,15.5
2,18673.0980683507,3
1,578.008915304606,3.8
0,0,0.4
4,21206.6641901932,0
2,35458.9524517088,2.8
3,34476.7236255572,8.8
3,28606.0104011887,18.3
10,98088.1426448737,4.2
11,128136.270430906,8.8
0,0,5.2
5,60797.2512471801,2.6
5,78841.4668652271,1
2,30899.8287416232,0
4,25593.4102755026,3.8
3,20622.3380491437,3.6
1,954.005956813105,0.6
4,19177.9746835443,0
3,32463.3134772896,0.6
2,10900.3276247208,0
1,6176.35889798957,0
2,20974.60908414,0
0,0,1.4
2,11966.0312732688,2.8
5,27170.664091586,0
5,110986.595588235,2
4,29573.25,0
2,25028.6323529412,9.2
4,23405.2058823529,32
6,85698.0147058823,28.8
2,11706.6985294118,0
4,44287.0882352941,36.8
6,70791.4852941176,38.1
6,30221.3602941176,11
3,14655.1102941176,14.4
3,23633.8308823529,7.2
5,212804.213235294,24
4,52636.1005765742,30.5
3,78299.1042584435,38.2
10,129933.502202643,69.8
7,58733.2599118943,25
4,92752.0704845815,6
2,44659.6328928047,3.8
8,112485.03671072,20.6
2,24188.5462555066,9.3
2,40626.5785609398,5.1
2,15320.4111600587,2.6
4,9505.75624082232,16.8
3,25367.0631424376,11.9
4,72023.2599118943,0.6
1,11638.0263157895,10.2
0,0,0
1,4005.30701754386,0
1,8981.20614035088,6.2
2,25018.019005848,0
2,26365.4093567251,0
1,21019.5906432749,1.6
1,8332.47076023392,13.4
4,39535.182748538,0.8
4,25227.1052631579,0.3
4,115496.995614035,4.4
3,48609.1959064327,16
6,38836.4766081871,0.4
6,27756.5425823886,3.9
6,89342.0216606498,23.5
19,173344.873646209,23.9
42,503402.137184116,5.3
19,306669.805054152,2.1
11,404605.263537906,4.8
3,45022.8664259928,1
9,56291.8050541516,3.4
9,176011.19133574,11.4
7,66449.7328519856,5.6
3,33169.4296028881,0.6
6,81019.8989169675,5.4
5,24598.6064981949,5.2
10,64416.6226405364,0
13,69363.4785714286,0.2
5,16981.5714285714,14.4
5,61627.7071428571,0.4
4,18752.2357142857,4.2
2,12238.1928571429,3.8
6,182734.264285714,0
4,46787.1571428571,5.2
2,29600.6357142857,6.6
2,27614.7357142857,11.2
2,4268.05714285714,18.2
26,120066.835714286,67.8
12,86543.6857142857,23.2
8,30486.8050919378,8.6
6,43169.4059405941,31.6
3,14216.2729844413,30.8
14,61920.2828854314,51.6
5,23017.369165488,35.4
4,47575.5162659123,5.6
2,15142.5247524752,1.2
4,57512.1923620933,3.4
4,56582.5601131542,0.4
1,4402.78642149929,2.4
4,35640.7072135785,0
3,11314.0664780764,3
1,7143.14710042433,0
3,16669.9303950329,1.6
2,32396.0958421424,1.6
1,5584.31289640592,1.8
2,18534.8273431994,0.2
1,617.39252995067,3.6
4,71251.5221987315,0
3,18925.1092318534,2.4
5,78840.6483439041,15
3,43208.8231148696,1
0,16422.6920366455,5.6
1,1687.38548273432,0.8
1,1092.41014799154,2.8
3,22297.2868217054,2.3
